类目名称	男性编号	男性概率	女性编号	女性概率	孕妇类编号	孕妇概率	儿童鞋编号	儿童概率
高帮鞋	50012907	0.33	50012825	0.33	无	0	50012340	0.33
靴子	50011743	0.25	50012028	0.25	50011597	0.25	50012347	0.25
凉靴	50011743	0.33	50012028	0.33	50011597	0.33	无	0
皮靴	50011743	0.5	无	0	无	0	50012340	0.5
低帮鞋	50012906	0.5	50012027	0.5	无	0	无	0
凉鞋	50011745	0.25	50012032	0.25	50011597	0.25	50012346	0.25
拖鞋	50011746	0.33	50012033	0.33	无	0	50012349	0.33
帆布鞋	50011744	0.25	50012042	0.25	50011597	0.25	50012343	0.25
雨鞋	50012908	0.5	50012047	0.5	无	0	无	0
雪地靴	50011743	0.25	50012028	0.25	50011597	0.25	50012347	0.25
马丁靴	50011743	0.5	50012028	0.5	无	0	无	0
休闲鞋	50011740	0.33	50006843	0.33	50011597	0.33	无	0
人字拖	50011746	0.5	50012033	0.5	无	0	无	0
一字拖	50011746	0.5	50012033	0.5	无	0	无	0
T型鞋	50011746	0.5	50012033	0.5	无	0	无	0
包头鞋	50011746	0.5	50012032	0.5	无	0	无	0
夹趾鞋	50011746	0.5	50012032	0.5	无	0	无	0
露趾鞋	50011745	0.5	50012032	0.5	无	0	无	0
套趾鞋	50011746	0.5	50012032	0.5	无	0	无	0
包头凉鞋	50011745	0.5	50012033	0.5	无	0	无	0
套趾凉鞋	50011745	0.5	50012033	0.5	无	0	无	0
露趾凉鞋	50011745	0.5	50012032	0.5	无	0	无	0
夹趾凉鞋	50011745	0.5	50012032	0.5	无	0	无	0
短靴	50011743	0.33	50012028	0.33	50011597	0.33	无	0
中筒靴	无	0	50012028	0.5	50011597	0.5	无	0
高筒靴	无	0	50012028	0.5	50011597	0.5	无	0
及踝靴	无	0	50006843	0.5	50011597	0.5	无	0
单鞋	50011740	0.33	50006843	0.33	50011597	0.33	无	0
超高筒靴	无	0	50006843	0.5	50011597	0.5	无	0
内增高鞋	无	0	50006843	0.5	50011597	0.5	无	0
特色鞋	无	0	50006843	0.5	50011597	0.5	无	0
绣花鞋	无	0	50006843	0.5	50011597	0.5	无	0
保健鞋	无	0	50006843	0.5	50011597	0.5	无	0
凉拖	50011740	0.33	50006843	0.33	50011597	0.33	无	0
棉鞋	50011740	0.33	50006843	0.33	无	0	50012348	0.33
家居鞋	50011740	0.33	50006843	0.33	50011597	0.33	无	0
皮鞋	50011740	0.33	50006843	0.33	无	0	50012342	0.33
休闲皮鞋	50011740	0.33	50006843	0.33	50011597	0.33	无	0
平底单鞋	无	0	50006843	0.5	50011597	0.5	无	0
高跟单鞋	无	0	50006843	0.5	50011597	0.5	无	0
棉皮鞋	50011740	0.33	50006843	0.33	50011597	0.33	无	0
中跟单鞋	无	0	50006843	0.5	50011597	0.5	无	0
连体裤	3035	0.5	50011597	0.5	无	0	无	0
船袜	50006846	0.5	无	0	无	0	50006584	0.5
